"filename", "language", "PostCSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Stats.js", "JavaScript", 0, 15, 0, 0, 2, 17
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Pen.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\RightArrow.js", "JavaScript", 0, 23, 0, 0, 2, 25
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\SearchIcon.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Share.js", "JavaScript", 0, 21, 0, 0, 2, 23
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\TrendingUp.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Upload.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\User.js", "JavaScript", 0, 15, 0, 0, 2, 17
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\X.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\close-sidebar.js", "JavaScript", 0, 21, 0, 0, 2, 23
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\delete-icon.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\feedback.js", "JavaScript", 0, 17, 0, 0, 2, 19
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\filled-global-bookmark.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\filter.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\global-bookmark.js", "JavaScript", 0, 14, 0, 0, 1, 15
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\logout.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\more.js", "JavaScript", 0, 15, 0, 0, 2, 17
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\no-eye.js", "JavaScript", 0, 14, 0, 0, 1, 15
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\open-sidebar.js", "JavaScript", 0, 21, 0, 0, 2, 23
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\person.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\read-line.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\read.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\stats-icons\Comment.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\stats-icons\Eye.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\stats-icons\book.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\stats-icons\like.js", "JavaScript", 0, 18, 0, 0, 2, 20
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\sun.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\index.css", "PostCSS", 42, 0, 0, 0, 7, 49
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\index.js", "JavaScript", 0, 17, 0, 0, 2, 19
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\lib\supabase.js", "JavaScript", 0, 6, 0, 0, 3, 9
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\Auth\AuthPage.css", "PostCSS", 111, 0, 0, 0, 21, 132
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\Auth\AuthPage.js", "JavaScript", 0, 59, 0, 0, 7, 66
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\NewPost\NewPostPage.css", "PostCSS", 162, 0, 0, 0, 27, 189
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\NewPost\NewPostPage.js", "JavaScript", 0, 321, 0, 56, 37, 414
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\ProfilePage\ProfilePage.css", "PostCSS", 181, 0, 0, 0, 29, 210
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\ProfilePage\ProfilePage.js", "JavaScript", 0, 292, 0, 5, 41, 338
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\Settings\SettingsPage.css", "PostCSS", 94, 0, 0, 0, 12, 106
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\Settings\SettingsPage.js", "JavaScript", 0, 72, 0, 0, 7, 79
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\bookmarksPage\bookmarks-page.js", "JavaScript", 0, 243, 0, 0, 14, 257
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\category-page\category-page.js", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\draftsPage\drafts-page.js", "JavaScript", 0, 68, 0, 0, 9, 77
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\feed\Feed.js", "JavaScript", 0, 87, 0, 1, 13, 101
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\notifications-page\notifications-page.js", "JavaScript", 0, 124, 0, 0, 14, 138
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\statsPage\stats-page.js", "JavaScript", 0, 136, 0, 15, 23, 174
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\trending-page\trending-page.js", "JavaScript", 0, 18, 0, 0, 4, 22
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\landing page\LandingPage.css", "PostCSS", 872, 0, 0, 3, 141, 1016
