Date : 2026-07-29 12:45:45
Directory : c:\Users\HP\Documents\Courses\react.js\trendy-blog\src
Total : 149 files,  10932 codes, 476 comments, 1457 blanks, all 12865 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        133 |      8,098 |        386 |        984 |      9,468 |
| PostCSS    |         15 |      2,833 |         90 |        473 |      3,396 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useBlogActions.js                         | JavaScript |         21 |          0 |          8 |         29 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useCreateBlog.js                          | JavaScript |         55 |          0 |         14 |         69 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useFeed.js                                | JavaScript |         85 |          0 |         17 |        102 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useLikes.js                               | JavaScript |         71 |          1 |         17 |         89 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\usePostAnalytics.js                       | JavaScript |         64 |          0 |         22 |         86 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useStats.js                               | JavaScript |         88 |          0 |         19 |        107 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\db\useUploadAvatar.js                        | JavaScript |         89 |          1 |         24 |        114 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\useAlert.js                                  | JavaScript |         21 |          0 |          6 |         27 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\useClickOutside.js                           | JavaScript |         14 |          0 |          5 |         19 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\useDarkMode.js                               | JavaScript |          7 |          0 |          3 |         10 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\hooks\useWindowSize.js                             | JavaScript |         20 |          0 |          8 |         28 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\AccountAdd.js                                | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Add.js                                       | JavaScript |         11 |          0 |          2 |         13 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\BackArrow.js                                 | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Close.js                                     | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Comment.js                                   | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Community.js                                 | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\DownArrow.js                                 | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Edit.js                                      | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Eye.js                                       | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Facebook.js                                  | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Flash.js                                     | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Heart.js                                     | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\ImageIcon.js                                 | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Instagram.js                                 | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\LinkedIn.js                                  | JavaScript |         17 |          0 |          2 |         19 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Lock.js                                      | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Mail.js                                      | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Menu.js                                      | JavaScript |         19 |          0 |          2 |         21 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\MenuClose.js                                 | JavaScript |         19 |          0 |          2 |         21 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Add.js                              | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Bookmark.js                         | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Categories.js                       | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Draft.js                            | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\ExploreIcon.js                      | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Feed.js                             | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Following.js                        | JavaScript |         23 |          0 |          2 |         25 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Hashtag.js                          | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\HomeIcon.js                         | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Logout.js                           | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Moon.js                             | JavaScript |         15 |          0 |          2 |         17 |
